"","x"
"1007_s_at",-0.0940010220359841
"1053_at",0.0458863271617158
"117_at",-0.031340480791707
"121_at",0.0583172113106922
"1255_g_at",0.0964608933621598
"1294_at",0.119750043903561
"1316_at",-0.0161770288043837
"1320_at",-0.187655483566078
"1405_i_at",1.29447515241452
"1431_at",1.00588892929513
"1438_at",-0.219799744722001
"1487_at",-0.353832610622524
"1494_f_at",0.129482517691214
"1552256_a_at",0.10899698377218
"1552257_a_at",-0.16289113223996
"1552258_at",0.249003676601133
"1552261_at",-0.0855403534721635
"1552263_at",-0.95316970122679
"1552264_a_at",-0.342077166844693
"1552266_at",0.122394006395363
"1552269_at",-0.0617302649736473
"1552271_at",-0.00404228547939223
"1552272_a_at",0.0772876913217448
"1552274_at",-0.190245592394885
"1552275_s_at",-0.562509457688088
"1552276_a_at",0.0824085322763688
"1552277_a_at",0.0368868930291892
"1552278_a_at",-0.0897869082528562
"1552279_a_at",0.0316086319615607
"1552280_at",-0.0474352954368671
"1552281_at",0.12092888250408
"1552283_s_at",-0.114276707161444
"1552286_at",0.14223280013513
"1552287_s_at",-0.292316413786851
"1552288_at",0.0754364154064335
"1552289_a_at",0.217154146554098
"1552291_at",-0.740287474324839
"1552293_at",0.0895113644302228
"1552295_a_at",-0.0418851991398466
"1552296_at",-0.0600847690753854
"1552299_at",-0.547689412049741
"1552301_a_at",0.756616443669117
"1552302_at",-0.266598078260425
"1552303_a_at",-0.20520096595088
"1552304_at",-0.311308997479137
"1552306_at",0.0396765511025192
"1552307_a_at",0.354544703895033
"1552309_a_at",-0.070009823540242
"1552310_at",0.700743612483379
"1552311_a_at",-0.123127784647547
"1552312_a_at",-0.166095014799484
"1552314_a_at",0.0437656939160522
"1552315_at",-0.0989507984264231
"1552316_a_at",-0.0864460463092263
"1552318_at",-0.0429082225263402
"1552319_a_at",0.0422244093075888
"1552320_a_at",0.0489368161630495
"1552321_a_at",0.0916397647116236
"1552322_at",0.0107667319100297
"1552323_s_at",0.243432248527305
"1552325_at",-0.146483068814607
"1552326_a_at",-0.0289460970062523
"1552327_at",-0.0294279743841575
"1552329_at",0.500815228226061
"1552330_at",0.166551113241494
"1552332_at",0.179250149107995
"1552334_at",0.321301106211555
"1552335_at",0.191762930734837
"1552337_s_at",-0.120739916695322
"1552338_at",-0.110610702050966
"1552340_at",0.161883892758333
"1552343_s_at",0.417475354233209
"1552344_s_at",-0.157011982381144
"1552347_at",-0.435428250310586
"1552348_at",0.220515378144152
"1552349_a_at",-0.0357010469423908
"1552354_at",-0.132073174484708
"1552355_s_at",-0.013786529925194
"1552359_at",0.047634061982639
"1552360_a_at",-0.189091304553267
"1552362_a_at",0.252423312712892
"1552364_s_at",0.150657155608633
"1552365_at",-0.363123663063202
"1552367_a_at",-0.430075842367375
"1552368_at",-1.20695155586339
"1552370_at",-0.595835653514906
"1552372_at",0.0359251090268602
"1552373_s_at",-0.135892016393623
"1552375_at",-0.0626465583451639
"1552377_s_at",0.0939952255876575
"1552378_s_at",-0.160408660357549
"1552379_at",-0.0328820921546047
"1552381_at",-0.318514020858405
"1552383_at",-0.107807213416595
"1552384_a_at",-0.00111995133320075
"1552386_at",0.0340855864055332
"1552388_at",-0.00791451434772039
"1552389_at",-0.173165073879169
"1552390_a_at",-0.0948700693238305
"1552391_at",-0.0653213245579227
"1552393_at",-0.130321557607394
"1552394_a_at",-0.168273690481415
"1552395_at",0.143360730462174
"1552396_at",0.0350274362735519
"1552398_a_at",-0.0102084157472655
"1552399_a_at",0.0320741443262804
"1552400_a_at",0.0618754861420028
"1552401_a_at",-0.090918391626821
"1552402_at",0.087798097561171
"1552405_at",-0.0221408328495851
"1552408_at",-0.0305135061660957
"1552409_a_at",-0.130707817627961
"1552410_at",0.0955472613356507
"1552411_at",-0.174142451923382
"1552412_a_at",0.0242252335042954
"1552414_at",-0.0122613749453286
"1552415_a_at",0.0190470341701214
"1552417_a_at",0.714247581871189
"1552418_at",0.107680282898295
"1552419_s_at",-0.057899218806992
"1552421_a_at",-0.186608374465552
"1552422_at",-0.0337217237695713
"1552423_at",0.202380630380229
"1552424_at",-0.184149426383032
"1552425_a_at",0.0833190286128316
"1552426_a_at",0.252657149480168
"1552427_at",-0.376270885786657
"1552430_at",0.0152367143380969
"1552432_at",0.0588743174179207
"1552436_a_at",0.0633546511387602
"1552438_a_at",0.0714841679454974
"1552439_s_at",-0.0134432185180202
"1552440_at",-0.0746062722901648
"1552445_a_at",0.11451175046885
"1552448_a_at",-0.0902245033482965
"1552449_a_at",0.0137034389372497
"1552450_a_at",-0.0194480050166046
